Time,Total population (Both sexes)?person?,Total population (0-14)?person?,Total population (15-64)?person?,Total population (65 and over)?person?,Live births?person?,Deaths?person?,Employment rate (Both sexes)?%?,Unemployment rate (Both sexes)?%?
Nov.2003,127704000,17880000,85390000,24360000,89082,82878,57.6,5
Dec.2003,127750000,17860000,85400000,24410000,94579,91660,57.5,4.5
Jan.2004,127603000,17830000,85270000,24420000,94171,99908,56.6,4.9
Feb.2004,127739000,17840000,85290000,24530000,87080,92415,56.6,5
Mar.2004,127675000,17830000,85170000,24590000,93251,91961,57.1,5
Apr.2004,127736000,17800000,85180000,24660000,91581,83574,57.8,5
May.2004,127654000,17800000,85070000,24690000,91952,82730,58.1,4.8
Jun.2004,127768000,17790000,85180000,24710000,89451,75575,58,4.6
Jul.2004,127761000,17780000,85150000,24730000,97373,79403,58,4.8
Aug.2004,127703000,17720000,85100000,24780000,94517,79135,58.2,4.7
Sep.2004,127730000,17730000,85070000,24830000,95947,76086,57.9,4.6
Oct.2004,127787000,17734000,85077000,24876000,92463,85774,57.8,4.7
Nov.2004,127819000,17718000,85063000,24936000,90221,86762,57.5,4.4
Dec.2004,127838000,17708000,85028000,24998000,92714,95279,57.4,4.1
Jan.2005,127740000,17669000,84948000,25020000,92842,103215,56.9,4.5
Feb.2005,127793000,17672000,84881000,25132000,80875,95754,56.6,4.7
Mar.2005,127714000,17660000,84737000,25208000,89541,108113,56.9,4.8
Apr.2005,127791000,17631000,84765000,25283000,86281,91577,57.8,4.7
May.2005,127647000,17618000,84590000,25324000,87151,86307,58.5,4.6
Jun.2005,127780000,17612000,84696000,25355000,87165,78091,58.3,4.2
Jul.2005,127773000,17598000,84658000,25398000,90976,80430,58.2,4.3
Aug.2005,127729000,17538000,84603000,25468000,92455,82140,58.2,4.2
Sep.2005,127734000,17547000,84540000,25524000,92705,78716,58.4,4.2
Oct.2005,127767994,17585000,84422000,25761000,90770,85391,58.2,4.5
Nov.2005,127792000,17570000,84385000,25827000,83990,90964,57.6,4.4
Dec.2005,127795000,17556000,84324000,25893000,87779,103098,57.3,4
Jan.2006,127781000,17546000,84276000,25929000,90977,109342,56.9,4.5
Feb.2006,127776000,17533000,84151000,26048000,82851,92842,57,4.2
Mar.2006,127761000,17523000,84050000,26135000,90903,95705,57.2,4.4
Apr.2006,127788000,17518000,83979000,26226000,87981,90660,57.9,4.3
May.2006,127777000,17502000,83919000,26279000,92228,88613,58.5,4.1
Jun.2006,127825000,17492000,83919000,26327000,89773,81168,58.4,4.1
Jul.2006,127854000,17484000,83892000,26379000,93813,82915,58.3,4
Aug.2006,127876000,17471000,83845000,26451000,95200,83443,58.3,4.1
Sep.2006,127862000,17445000,83769000,26528000,93137,80605,58.3,4.2
Oct.2006,127901000,17435000,83731000,26604000,93524,86512,58.4,4.2
Nov.2006,127925000,17420000,83684000,26680000,90053,91726,58.1,3.9
